Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,55.509998,56.240002,52.75,54.360001,15944400,53.106106
2015-11-02,54.209999,56.34,54.130001,55.099998,14211700,53.829033
2015-10-01,51.509998,55.57,49.509998,54.139999,16904300,52.530098
2015-09-01,52.110001,53.91,49.799999,51.349998,20460500,49.823059
2015-08-03,58.07,58.16,47.75,53.330002,18914300,51.744186
2015-07-01,57.09,58.77,55.080002,57.869999,14228200,55.785015
2015-06-01,56.240002,58.259998,55.740002,56.240002,17251700,54.213745
2015-05-01,55.259998,56.700001,54.450001,55.959999,14194500,53.943832
2015-04-01,54.419998,55.759998,53.560001,55.099998,15547600,52.757347
2015-03-02,54.790001,56.290001,53.290001,54.400002,16460200,52.087112
2015-02-02,52.189999,55.580002,51.990002,54.790001,15314200,52.460529
2015-01-02,55.110001,55.189999,50.419998,51.919998,20521400,49.387024
2014-12-01,54.419998,55.950001,52.73,54.82,16663200,52.145546
2014-11-03,53.220001,54.740002,52.869999,54.48,13122500,51.822132
2014-10-01,51.84,53.169998,46.439999,53.09,19988400,50.168148
2014-09-02,51.709999,53.799999,51.00,51.869999,13779700,49.015289
2014-08-01,50.50,51.75,49.470001,51.439999,12003200,48.608955
2014-07-01,52.73,53.080002,50.610001,50.900002,16801900,47.764656
2014-06-02,50.939999,53.049999,50.75,52.560001,14492800,49.322403
2014-05-01,49.740002,50.82,48.66,50.779999,14215700,47.652046
2014-04-01,49.880001,50.490002,46.720001,49.639999,18527800,46.250149
2014-03-03,46.110001,49.970001,45.959999,49.740002,18362800,46.343323
2014-02-03,45.310001,46.650002,44.169998,46.419998,16814300,43.250038
2014-01-02,45.150002,46.84,44.91,45.34,19762400,41.960716
2013-12-02,44.110001,45.639999,43.209999,45.400002,16126400,42.016247
2013-11-01,42.720001,44.75,41.709999,44.02,16260900,40.739101
2013-10-01,41.369999,43.400002,40.07,42.689999,19338500,39.230198
2013-09-03,41.650002,43.830002,40.889999,41.32,19349200,37.97123
2013-08-01,44.189999,44.740002,40.919998,41.080002,15294100,37.750683
2013-07-01,41.560001,44.790001,40.790001,43.50,21970000,39.702183
2013-06-03,40.830002,41.740002,39.400002,41.27,22692600,37.666878
2013-05-01,37.900002,41.59,37.290001,40.549999,22208000,37.009735
2013-04-01,37.02,38.040001,36.189999,37.98,22209400,34.393299
