Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,81.760002,82.129997,73.790001,77.949997,17144900,75.957321
2015-11-02,82.300003,87.440002,77.910004,81.660004,14096800,79.572487
2015-10-01,75.199997,83.879997,73.029999,82.739998,15309400,79.928108
2015-09-01,73.300003,75.470001,71.510002,74.349998,15943800,71.823242
2015-08-03,78.699997,79.290001,66.550003,75.239998,19377400,72.682991
2015-07-01,83.279999,83.529999,78.93,79.209999,13625700,75.808762
2015-06-01,85.25,85.970001,82.800003,83.199997,11535400,79.627434
2015-05-01,87.849998,90.089996,84.769997,85.199997,10677700,81.54155
2015-04-01,85.699997,88.669998,83.809998,87.370003,12648500,82.932449
2015-03-02,88.339996,88.519997,82.68,85.00,15618800,80.682816
2015-02-02,87.849998,93.449997,87.50,88.540001,15238800,84.043022
2015-01-02,92.25,93.050003,86.029999,87.419998,17470100,82.359978
2014-12-01,90.360001,95.330002,86.190002,92.449997,18734000,87.098831
2014-11-03,96.559998,97.199997,90.110001,90.540001,12509700,85.299393
2014-10-01,94.110001,96.889999,86.910004,96.709999,15634200,90.45916
2014-09-02,99.43,99.589996,93.620003,94.050003,11781400,87.971092
2014-08-01,98.620003,100.43,97.629997,99.459999,9348800,93.03141
2014-07-01,101.150002,104.760002,98.93,98.940002,9439300,91.9048
2014-06-02,100.529999,104.610001,99.589996,100.68,10396700,93.52108
2014-05-01,101.959999,103.449997,100.32,100.529999,9113600,93.381744
2014-04-01,97.650002,102.57,96.239998,102.410004,11660100,94.486565
2014-03-03,95.760002,98.849998,93.010002,97.68,12765400,90.12252
2014-02-03,91.919998,97.25,89.25,96.269997,13996500,88.821602
2014-01-02,100.599998,101.220001,91.699997,92.160004,13058500,84.431602
2013-12-02,93.269997,101.739998,92.919998,101.199997,13228500,92.713516
2013-11-01,89.739998,96.00,88.269997,93.480003,12856000,85.640915
2013-10-01,85.989998,90.959999,84.790001,89.620003,13341600,81.549721
2013-09-03,87.699997,89.870003,85.610001,86.040001,12800900,78.292099
2013-08-01,92.690002,93.099998,86.389999,87.160004,12914100,79.311249
2013-07-01,90.389999,95.489998,89.959999,93.75,11462900,84.722244
2013-06-03,90.529999,92.269997,88.019997,90.349998,15737500,81.649651
2013-05-01,88.519997,93.50,87.480003,90.470001,13364200,81.758095
2013-04-01,90.129997,90.989998,85.019997,88.989998,14132700,79.868103
2013-03-01,89.07,90.980003,87.900002,90.110001,14126500,80.873299
2013-02-01,90.440002,90.50,87.610001,89.550003,13249100,80.370705
2013-01-02,87.790001,91.93,87.239998,89.970001,13213700,80.235054
2012-12-03,88.550003,90.370003,84.699997,86.550003,15112600,77.185104
2012-11-01,90.25,92.050003,85.059998,88.139999,14342700,78.603058
2012-10-01,91.790001,93.669998,89.68,91.169998,12188600,80.799324
2012-09-04,87.330002,92.57,86.519997,91.449997,14037000,81.047478
2012-08-01,87.019997,88.910004,85.50,87.300003,11399500,77.369545
2012-07-02,85.440002,87.849998,82.830002,86.849998,15548900,76.473747
2012-06-01,77.870003,85.699997,77.129997,85.57,24899800,75.34668
2012-05-01,86.459999,87.519997,78.410004,78.629997,17847200,69.235817
2012-04-02,86.599998,87.669998,81.879997,86.339996,15598400,75.504524
2012-03-01,86.470001,87.25,84.050003,86.730003,15994500,75.845589
2012-02-01,84.230003,87.830002,83.190002,86.50,15949600,75.644447
2012-01-03,85.970001,87.940002,83.459999,83.739998,18038500,72.832184
2011-12-01,80.199997,85.629997,78.660004,84.760002,18567500,73.719322
2011-11-01,75.82,80.529999,73.900002,80.440002,22774900,69.962036
2011-10-03,72.050003,82.199997,69.209999,78.089996,25943600,67.515854
2011-09-01,74.150002,74.980003,67.93,72.629997,27687600,62.795189
2011-08-01,80.82,81.18,67.029999,74.019997,34928400,63.996971
2011-07-01,81.190002,85.410004,79.760002,79.790001,20103800,68.533073
2011-06-01,83.550003,83.650002,76.720001,81.379997,21103900,69.89875
2011-05-02,88.099998,88.129997,79.419998,83.470001,20355400,71.693893
2011-04-01,84.720001,88.00,82.379997,87.980003,16353700,75.141441
2011-03-01,86.410004,86.50,78.800003,84.129997,19767400,71.853256
2011-02-01,81.139999,88.230003,81.040001,85.529999,24636800,73.048958
2011-01-03,73.720001,80.82,73.639999,80.68,24194700,68.545464
2010-12-01,70.379997,73.690002,70.379997,73.120003,19295900,62.122513
2010-11-01,66.720001,71.900002,66.629997,69.559998,24468700,59.097942
2010-10-01,62.32,66.809998,61.799999,66.489998,21413900,56.136219
2010-09-01,60.040001,62.439999,59.720001,61.790001,21372500,52.168102
2010-08-02,60.639999,62.990002,58.049999,59.110001,22846100,49.90543
2010-07-01,56.98,61.880001,55.939999,59.68,30611600,50.028683
2010-06-01,60.380001,64.50,56.919998,57.07,38748500,47.840767
2010-05-03,68.110001,68.220001,58.459999,60.459999,40034400,50.682541
2010-04-01,67.269997,70.00,66.849998,67.769997,27383200,56.427177
2010-03-01,65.360001,67.889999,65.080002,66.980003,26307800,55.769405
2010-02-01,65.769997,67.230003,63.560001,65.00,29209100,54.1208
2010-01-04,68.720001,70.599998,64.019997,64.43,33544900,53.298496
2009-12-01,76.00,76.300003,67.639999,68.190002,30354400,56.408886
2009-11-02,72.050003,76.540001,71.040001,75.07,18893700,62.100235
2009-10-01,68.389999,75.00,66.110001,71.669998,24248100,58.944565
2009-09-01,68.93,71.080002,67.830002,68.610001,21252200,56.427891
2009-08-03,70.959999,71.889999,66.089996,69.150002,22000100,56.872009
2009-07-01,70.669998,72.790001,64.459999,70.389999,26744900,57.540371
2009-06-01,70.459999,74.830002,68.080002,69.910004,28378500,57.147999
2009-05-01,67.129997,71.389999,65.599998,69.349998,28182500,56.69022
2009-04-01,67.040001,71.150002,64.50,66.669998,31807000,54.176151
2009-03-02,67.00,71.489998,61.860001,68.099998,44299400,55.338173
2009-02-02,76.059998,80.50,67.900002,67.900002,44023900,55.175655
