Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,33.779999,34.990002,33.009998,34.41,25475400,32.747025
2015-11-02,33.689999,33.779999,32.220001,33.669998,20214600,32.042786
2015-10-01,32.48,34.740002,32.169998,33.509998,26585500,31.890518
2015-09-01,32.599998,33.50,31.85,32.580002,28247000,30.567984
2015-08-03,34.950001,35.02,30.969999,33.200001,35878700,31.149693
2015-07-01,35.59,35.93,33.860001,34.740002,35789400,32.594589
2015-06-01,34.529999,36.450001,34.240002,35.52,35055900,32.888527
2015-05-01,34.560001,35.220001,33.029999,34.540001,33386200,31.981131
2015-04-01,32.619999,35.23,32.369999,34.639999,30371200,32.073719
2015-03-02,34.560001,34.650002,32.52,32.650002,27482000,29.802662
2015-02-02,33.310001,35.07,32.799999,34.560001,24393600,31.546093
2015-01-02,33.59,34.23,32.41,32.919998,32522600,30.049112
2014-12-01,35.279999,35.369999,32.07,33.59,27284400,30.2318
2014-11-03,34.970001,36.150002,34.220001,35.380001,19836800,31.842844
2014-10-01,35.09,36.16,33.099998,34.84,27412200,31.356831
2014-09-02,34.93,35.549999,34.360001,35.240002,17298200,31.303885
2014-08-01,35.779999,35.82,34.169998,34.959999,18687900,31.055157
2014-07-01,35.23,37.48,35.029999,35.59,25150400,31.61479
2014-06-02,35.50,35.75,34.619999,35.360001,20078400,31.009348
2014-05-01,35.75,36.860001,35.00,35.470001,26421600,31.105814
2014-04-01,35.009998,36.41,34.32,35.700001,29998900,31.307514
2014-03-03,31.799999,35.50,31.76,35.07,32589800,30.3564
2014-02-03,33.32,33.50,31.74,31.93,34350800,27.638433
2014-01-02,35.240002,35.290001,32.009998,33.32,31238600,28.841608
2013-12-02,35.18,35.299999,33.599998,35.16,21568400,30.033737
2013-11-01,36.50,36.799999,34.560001,35.209999,20179500,30.076447
2013-10-01,33.790001,36.490002,33.09,36.200001,30358800,30.922108
2013-09-03,34.009998,35.009998,33.209999,33.82,21912800,28.506752
2013-08-01,35.650002,35.849998,33.189999,33.830002,19714300,28.515182
2013-07-01,35.400002,36.310001,34.93,35.27,19891400,29.728952
2013-06-03,34.990002,36.389999,34.099998,35.400002,33495900,29.463778
2013-05-01,37.459999,37.970001,34.98,34.990002,22241600,29.122532
2013-04-01,36.709999,39.00,36.630001,37.459999,31790100,31.178335
2013-03-01,35.689999,36.869999,35.630001,36.689999,25029400,30.176016
2013-02-01,35.16,36.25,35.00,35.91,26013600,29.5345
2013-01-02,34.389999,35.50,32.759998,34.790001,29216200,28.613346
2012-12-03,34.23,34.689999,33.099998,33.709999,25837000,27.372553
2012-11-01,34.84,35.380001,32.709999,34.130001,29329800,27.713594
2012-10-01,37.630001,38.43,33.00,34.59,27435100,28.087114
2012-09-04,36.580002,38.580002,36.540001,37.700001,29642900,30.261122
2012-08-01,38.139999,38.279999,36.43,36.639999,21782300,29.410278
2012-07-02,35.700001,38.110001,34.240002,37.919998,27909700,30.43771
2012-06-01,34.099998,36.00,33.779999,35.66,34630300,28.271555
2012-05-01,32.93,34.41,32.470001,34.169998,28418000,27.090269
2012-04-02,31.280001,32.950001,29.950001,32.91,26001500,26.091331
2012-03-01,30.540001,31.969999,30.440001,31.23,32086600,24.414333
2012-02-01,29.91,30.639999,29.58,30.59,25098300,23.914009
2012-01-03,30.459999,30.68,29.02,29.41,31405200,22.991533
2011-12-01,28.93,30.299999,28.51,30.24,24893900,23.298229
2011-11-01,29.030001,29.549999,27.41,28.98,25164100,22.327469
2011-10-03,28.639999,29.799999,27.549999,29.309999,27873600,22.581717
2011-09-01,28.59,29.18,27.290001,28.52,38959200,21.639318
2011-08-01,30.059999,30.08,27.33,28.48,45910700,21.608967
2011-07-01,31.42,31.780001,28.77,29.26,25515700,22.200787
2011-06-01,31.43,31.58,30.110001,31.41,23832100,23.508091
2011-05-02,31.60,31.940001,30.90,31.559999,23300200,23.620356
2011-04-01,30.870001,31.82,29.91,31.120001,30898200,23.291048
2011-03-01,28.450001,30.969999,27.27,30.610001,40766200,22.58847
2011-02-01,27.92,28.59,27.559999,28.379999,24386400,20.942854
2011-01-03,29.68,30.10,27.200001,27.52,36156900,20.308222
2010-12-01,28.120001,29.559999,28.030001,29.379999,21588700,21.369833
2010-11-01,28.83,29.49,27.49,27.790001,21937400,20.213331
2010-10-01,28.85,29.43,27.860001,28.52,25875400,20.744305
2010-09-01,27.24,29.15,27.059999,28.60,25864700,20.504908
2010-08-02,26.50,27.389999,26.200001,27.030001,29194100,19.37929
2010-07-01,24.26,26.41,23.879999,25.940001,30614900,18.597809
2010-06-01,24.27,25.66,24.030001,24.190001,32338300,17.044731
2010-05-03,26.24,26.43,23.780001,24.299999,38832400,17.122238
2010-04-01,26.049999,26.75,25.48,26.059999,32125000,18.362368
2010-03-01,24.91,26.57,24.709999,25.84,27265500,17.916698
2010-02-01,25.67,25.84,24.610001,24.809999,32003700,17.202526
2010-01-04,28.41,28.73,25.059999,25.360001,40469400,17.583881
2009-12-01,27.18,28.610001,26.940001,28.030001,23437800,19.148163
2009-11-02,25.90,27.33,25.00,26.940001,26854300,18.403551
2009-10-01,27.00,27.190001,25.25,25.67,35187600,17.535975
2009-09-01,25.950001,27.690001,25.01,27.01,30453100,18.172731
2009-08-03,26.700001,26.90,24.91,26.049999,23831200,17.526827
2009-07-01,24.940001,26.60,23.190001,26.23,29040800,17.647934
2009-06-01,24.969999,25.27,23.809999,24.84,32196700,16.431086
2009-05-01,25.879999,26.780001,23.379999,24.790001,30308800,16.398012
2009-04-01,24.77,27.09,24.77,25.620001,31470300,16.947037
2009-03-02,22.799999,26.959999,21.440001,25.200001,39289900,16.412189
2009-02-02,24.969999,26.379999,22.299999,23.77,36533000,15.480862
2009-01-02,28.74,29.459999,23.90,24.620001,36402000,16.034449
2008-12-01,28.00,30.65,26.57,28.50,34290000,18.292494
2008-11-03,26.870001,29.91,23.32,28.559999,38197600,18.331003
2008-10-01,28.15,29.370001,20.90,26.77,48964300,17.182108
2008-09-02,32.529999,33.150002,27.51,27.92,35899000,17.641745
2008-08-01,31.01,32.810001,29.719999,31.99,25435700,20.213446
2008-07-01,33.41,33.59,30.530001,30.809999,30274400,19.467842
2008-06-02,39.669998,39.91,32.630001,33.689999,30504900,21.027061
2008-05-01,39.290001,40.700001,38.299999,39.900002,21714100,24.902933
2008-04-01,38.700001,39.610001,37.02,38.709999,22204100,24.160213
2008-03-03,34.75,38.740002,34.25,38.299999,27334600,23.659208
